index,count
AGR,22
L,21
M,19
CHIM,17
VET,17
BIO,16
ING,15
MED,11
FIS,10
SPS,7
ICAR,6
GEO,3
SH5,2
INF,2
SH3,2
SH5_11,2
LS9,2
LS1,2
LS1_2,2
SH3_1,2
LS9_6,2
PE6,2
LS9_8,2
LS2,2
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
