count,year,type
92,2017,monograph
65,2017,book_section
20,2017,article
6,2017,dataset
4,2017,preprint
2,2017,conference_item
59,2018,monograph
32,2018,article
30,2018,book_section
11,2018,preprint
9,2018,dataset
3,2018,conference_item
1,2018,software
62,2019,monograph
25,2019,dataset
12,2019,conference_item
12,2019,book_section
5,2019,preprint
4,2019,article
85,2020,monograph
52,2020,dataset
20,2020,book_section
12,2020,preprint
4,2020,article
2,2020,software
1,2020,conference_item
77,2021,monograph
42,2021,dataset
23,2021,book_section
14,2021,preprint
1,2021,software
98,2022,monograph
56,2022,dataset
10,2022,conference_item
10,2022,book_section
9,2022,preprint
72,2023,monograph
34,2023,book_section
32,2023,dataset
17,2023,conference_item
7,2023,preprint
115,2024,book_section
100,2024,dataset
90,2024,monograph
9,2024,conference_item
7,2024,preprint
3,2024,software
162,2025,dataset
75,2025,monograph
66,2025,book_section
16,2025,preprint
4,2025,software
4,2025,conference_item
2,2025,working_paper
