count,_id.year,subject,macro_sector
25,2020,ING-IND-25,ING
16,2022,ING-INF-04,ING
16,2022,SPS-09,SPS
13,2021,ING-INF-04,ING
12,2022,SPS-04,SPS
6,2022,SPS-07,SPS
5,2020,L-ART-06,L
5,2021,other,ICAR
5,2021,M-PSI-05,M
4,2022,other,SECS
4,2022,ING-IND-34,ING
4,2021,other,ICAR
4,2020,other,AGR
3,2021,other,AGR
3,2022,other,AGR
3,2022,other,ING
3,2020,M-PSI-05,M
2,2022,other,SPS
2,2021,other,other
2,2021,other,other
2,2022,other,other
2,2021,other,other
2,2020,other,L
2,2020,other,other
2,2022,other,SECS
1,2022,other,other
1,2022,other,other
1,2021,other,AGR
1,2020,other,ING
1,2021,other,other
1,2021,other,other
1,2022,other,BIO
1,2022,other,other
1,2020,other,other
1,2022,ING-IND-25,ING
1,2021,other,SECS
1,2022,other,other
1,2020,other,BIO
1,2022,other,other
1,2021,ING-IND-25,ING
1,2020,other,other
1,2022,other,M
1,2021,other,other
1,2021,other,ICAR
1,2022,other,other
1,2020,other,other
1,2021,other,other
1,2021,ING-IND-34,ING
1,2022,other,other
1,2022,L-ART-06,L
1,2021,other,L
1,2021,other,BIO
1,2021,other,AGR
1,2021,other,other
1,2021,other,other
1,2022,other,L
1,2022,other,M
1,2021,other,ING
1,2020,other,other
1,2022,other,other
1,2021,other,M
1,2022,other,M
1,2020,SPS-07,SPS
1,2022,other,SPS
1,2020,other,AGR
1,2020,ING-IND-34,ING
1,2021,other,M
1,2022,other,other
1,2020,other,M
1,2022,other,L
1,2021,SPS-09,SPS
1,2020,other,other
1,2020,other,L
1,2022,other,other
1,2020,other,other
1,2021,other,L
1,2020,other,other
1,2021,other,other
1,2020,other,SECS
1,2020,other,other
1,2022,other,BIO
1,2022,other,ING
1,2020,other,L
1,2020,other,L
1,2021,other,other
1,2020,other,other
1,2022,other,other
1,2022,other,M
1,2021,other,ICAR
1,2021,other,ICAR
1,2020,other,M
1,2021,other,AGR
1,2021,other,BIO
1,2021,other,other
1,2021,other,BIO
1,2021,other,M
1,2021,other,ING
1,2022,other,M
1,2022,other,other
1,2022,other,M
1,2020,other,ING
1,2021,other,ICAR
