count,year,subject,macro_sector
23,2025,AGR-04,AGR
15,2025,CHIM-01,CHIM
14,2024,CHIM-02,CHIM
11,2025,VET-02,VET
11,2025,CHIM-02,CHIM
10,2025,AGR-15,AGR
9,2025,AGR-16,AGR
9,2025,L-OR-20,L
9,2025,L-OR-21,L
8,2023,ING-INF-04,ING
8,2024,ICAR-08,ICAR
7,2024,ING-IND-34,ING
7,2025,M-GGR-01,M
6,2024,AGR-15,AGR
6,2024,ING-INF-04,ING
5,2024,CHIM-01,CHIM
5,2025,BIO-10,BIO
5,2025,other,other
5,2025,ICAR-08,ICAR
5,2024,other,L
5,2024,other,L
5,2023,VET-02,VET
4,2025,other,CHIM
4,2025,VET-05,VET
4,2024,INF-01,INF
4,2024,other,FIS
4,2024,other,L
4,2025,other,FIS
4,2025,SH5,SH5
4,2025,other,MED
4,2024,other,AGR
3,2025,other,VET
3,2024,other,AGR
3,2024,other,other
3,2024,other,other
3,2025,other,MED
3,2024,other,other
3,2024,other,L
3,2024,other,other
3,2025,other,CHIM
3,2025,INF-01,INF
3,2023,ING-INF-05,ING
3,2024,VET-02,VET
3,2024,other,AGR
3,2024,other,BIO
3,2025,ING-INF-04,ING
3,2025,other,other
3,2025,other,SPS
3,2024,other,ING
3,2024,ING-INF-05,ING
3,2025,other,BIO
3,2025,other,MED
2,2025,other,ICAR
2,2024,other,CHIM
2,2025,other,CHIM
2,2025,other,M
2,2023,CHIM-01,CHIM
2,2024,other,other
2,2025,other,other
2,2024,other,other
2,2023,ING-IND-34,ING
2,2025,other,MED
2,2024,other,other
2,2024,other,other
2,2025,other,BIO
2,2024,BIO-10,BIO
2,2025,other,other
2,2024,other,other
2,2023,CHIM-02,CHIM
2,2024,other,other
2,2023,other,other
2,2024,other,BIO
2,2024,other,BIO
2,2024,other,other
2,2024,other,other
2,2025,other,L
2,2024,other,other
2,2025,other,VET
2,2024,other,other
2,2024,other,other
2,2024,other,other
2,2025,other,CHIM
2,2024,other,FIS
2,2025,other,CHIM
2,2024,other,VET
2,2024,other,VET
2,2025,other,SPS
2,2025,other,MED
2,2024,SH5,SH5
2,2025,other,FIS
2,2025,other,other
2,2024,other,other
2,2023,other,CHIM
2,2025,other,L
2,2024,VET-05,VET
2,2024,other,other
2,2024,other,other
2,2025,other,AGR
2,2025,other,FIS
2,2024,other,other
2,2024,other,AGR
2,2024,other,other
2,2024,other,VET
2,2025,other,BIO
2,2024,other,other
2,2024,other,other
2,2025,other,other
2,2025,other,AGR
2,2025,other,other
2,2024,other,other
2,2025,other,M
1,2023,other,AGR
1,2025,other,ING
1,2025,other,L
1,2024,other,AGR
1,2024,other,ING
1,2025,other,FIS
1,2025,other,M
1,2024,other,BIO
1,2025,other,other
1,2024,AGR-04,AGR
1,2025,other,other
1,2025,other,M
1,2025,other,other
1,2025,other,M
1,2025,other,SPS
1,2025,other,other
1,2025,other,MED
1,2025,other,other
1,2025,other,L
1,2025,other,BIO
1,2025,other,other
1,2024,other,other
1,2025,other,other
1,2025,other,BIO
1,2023,other,other
1,2024,other,BIO
1,2025,other,VET
1,2025,other,AGR
1,2025,other,BIO
1,2024,other,MED
1,2025,other,other
1,2025,other,other
1,2023,other,M
1,2025,other,M
1,2024,other,other
1,2024,other,M
1,2025,other,other
1,2023,other,other
1,2025,other,L
1,2024,other,VET
1,2025,other,other
1,2024,AGR-16,AGR
1,2024,other,other
1,2023,other,L
1,2025,other,M
1,2025,other,MED
1,2024,other,other
1,2023,other,L
1,2024,other,ING
1,2025,other,other
1,2023,other,ICAR
1,2024,other,FIS
1,2025,other,SPS
1,2025,other,BIO
1,2025,other,other
1,2025,other,ING
1,2024,other,FIS
1,2024,other,FIS
1,2025,other,BIO
1,2025,other,VET
1,2025,other,VET
1,2023,other,other
1,2024,other,other
1,2025,other,other
1,2024,other,other
1,2023,other,FIS
1,2025,other,L
1,2023,other,L
1,2025,other,M
1,2024,other,other
1,2025,other,SPS
1,2023,other,M
1,2024,other,VET
1,2024,other,CHIM
1,2024,other,MED
1,2024,other,other
1,2024,other,other
1,2024,other,CHIM
1,2023,AGR-04,AGR
1,2024,other,CHIM
1,2024,other,AGR
1,2025,other,L
1,2024,other,AGR
1,2023,other,M
1,2025,other,other
1,2023,other,AGR
1,2025,other,SPS
1,2024,other,L
1,2023,other,M
1,2024,other,MED
1,2024,other,VET
1,2023,other,M
1,2025,other,AGR
1,2024,other,other
1,2025,other,other
1,2024,other,BIO
1,2024,other,other
1,2025,other,other
1,2023,other,other
1,2023,other,M
1,2025,other,other
1,2025,other,SPS
1,2025,other,AGR
1,2025,other,other
1,2025,other,CHIM
1,2025,other,other
1,2023,other,L
1,2025,other,ING
1,2023,other,M
1,2024,other,MED
1,2024,other,L
1,2025,other,other
1,2025,other,other
1,2025,other,M
1,2025,other,ICAR
1,2024,other,other
1,2024,other,other
1,2025,other,other
1,2025,other,other
1,2025,ING-IND-34,ING
1,2024,other,ING
1,2025,other,ICAR
1,2024,other,other
1,2025,other,other
1,2024,other,other
1,2024,other,AGR
1,2025,other,M
1,2025,other,VET
1,2025,other,L
1,2023,other,L
