subjectid;name
BIO-02;BIO/02 Botanica sistematica
BIO-03;BIO/03 Botanica ambientale e applicata
BIO-04;BIO/04 Fisiologia vegetale
BIO-05;BIO/05 Zoologia
BIO-06;BIO/06 Anatomia comparata e citologia
BIO-07;BIO/07 Ecologia
BIO-08;BIO/08 Antropologia
BIO-09;BIO/09 Fisiologia
BIO-10;BIO/10 Biochimica
BIO-11;BIO/11 Biologia molecolare
BIO-12;BIO/12 Biochimica clinica e biologia molecolare e clinica
BIO-13;BIO/13 Biologia applicata
BIO-14;BIO/14 Farmacologia
BIO-15;BIO/15 Biologia farmaceutica
BIO-16;BIO/16 Anatomia umana
BIO-17;BIO/17 Istologia
BIO-18;BIO/18 Genetica
BIO-19;BIO/19 Microbiologia
CHIM;Area 03 - Scienze chimiche
CHIM-01;CHIM/01 Chimica analitica
CHIM-02;CHIM/02 Chimica fisica
CHIM-03;CHIM/03 Chimica generale e inorganica
CHIM-04;CHIM/04 Chimica industriale
CHIM-05;CHIM/05 Scienza e tecnologia dei materiali polimerici
CHIM-06;CHIM/06 Chimica organica
CHIM-07;CHIM/07 Fondamenti chimici delle tecnologie
CHIM-08;CHIM/08 Chimica farmaceutica
CHIM-09;CHIM/09 Farmaceutico tecnologico applicativo
CHIM-10;CHIM/10 Chimica degli alimenti
CHIM-11;CHIM/11 Chimica e biotecnologia delle fermentazioni
CHIM-12;CHIM/12 Chimica dell'ambiente e dei beni culturali
FIS;Area 02 - Scienze fisiche
FIS-01;FIS/01 Fisica sperimentale
FIS-02;FIS/02 Fisica teorica, modelli e metodi matematici
FIS-03;FIS/03 Fisica della materia
FIS-04;FIS/04 Fisica nucleare e subnucleare
FIS-05;FIS/05 Astronomia e astrofisica
FIS-06;FIS/06 Fisica per il sistema terra e il mezzo circumterrestre
FIS-07;FIS/07 Fisica applicata (a beni culturali, ambientali, biologia e medicina)
FIS-08;FIS/08 Didattica e storia della fisica
GEO;Area 04 - Scienze della terra
GEO-01;GEO/01 Paleontologia e paleoecologia
GEO-02;GEO/02 Geologia stratigrafica e sedimentologica
GEO-03;GEO/03 Geologia strutturale
GEO-04;GEO/04 Geografia fisica e geomorfologia
GEO-05;GEO/05 Geologia applicata
GEO-06;GEO/06 Mineralogia
GEO-07;GEO/07 Petrologia e petrografia
GEO-08;GEO/08 Geochimica e vulcanologia
GEO-09;GEO/09 Georisorse minerarie e applicazioni mineralogico- petrografiche per l'ambiente ed i beni culturali
GEO-10;GEO/10 Geofisica della terra solida
GEO-11;GEO/11 Geofisica applicata
GEO-12;GEO/12 Oceanografia e fisica dell'atmosfera
ICAR;Area 08 - Ingegneria civile e Architettura
ICAR-01;ICAR/01 Idraulica
ICAR-02;ICAR/02 Costruzioni idrauliche e marittime e idrologia
ICAR-03;ICAR/03 Ingegneria sanitaria-ambientale
ICAR-04;ICAR/04 Strade, ferrovie ed aeroporti
ICAR-05;ICAR/05 Trasporti
ICAR-06;ICAR/06 Topografia e cartografia
ICAR-07;ICAR/07 Geotecnica
ICAR-08;ICAR/08 Scienza delle costruzioni
ICAR-09;ICAR/09 Tecnica delle costruzioni
ICAR-10;ICAR/10 Architettura tecnica
ICAR-11;ICAR/11 Produzione edilizia
ICAR-12;ICAR/12 Tecnologia dell'architettura
ICAR-13;ICAR/13 Disegno industriale
ICAR-14;ICAR/14 Composizione architettonica e urbana
ICAR-15;ICAR/15 Architettura del paesaggio
ICAR-16;ICAR/16 Architettura degli interni e allestimento
ICAR-17;ICAR/17 Disegno
ICAR-18;ICAR/18 Storia dell'architettura
ICAR-19;ICAR/19 Restauro
ICAR-20;ICAR/20 Tecnica e pianificazione urbanistica
ICAR-21;ICAR/21 Urbanistica
ICAR-22;ICAR/22 Estimo
INF-01;INF/01 Informatica
ING-IND;Area 09 - Ingegneria industriale e dell'informazione
ING-IND-01;ING-IND/01 Architettura navale
ING-IND-02;ING-IND/02 Costruzioni e impianti navali e marini
ING-IND-03;ING-IND/03 Meccanica del volo
ING-IND-04;ING-IND/04 Costruzioni e strutture aerospaziali
ING-IND-05;ING-IND/05 Impianti e sistemi aerospaziali
ING-IND-06;ING-IND/06 Fluidodinamica
ING-IND-07;ING-IND/07 Propulsione aerospaziale
ING-IND-08;ING-IND/08 Macchine a fluido
ING-IND-09;ING-IND/09 Sistemi per l'energia e l'ambiente
ING-IND-10;ING-IND/10 Fisica tecnica industriale
ING-IND-11;ING-IND/11 Fisica tecnica ambientale
ING-IND-12;ING-IND/12 Misure meccaniche e termiche
ING-IND-13;ING-IND/13 Meccanica applicata alle macchine
ING-IND-14;ING-IND/14 Progettazione meccanica e costruzione di macchine
ING-IND-15;ING-IND/15 Disegno e metodi dell'ingegneria industriale
ING-IND-16;ING-IND/16 Tecnologie e sistemi di lavorazione
ING-IND-17;ING-IND/17 Impianti industriali meccanici
ING-IND-18;ING-IND/18 Fisica dei reattori nucleari
ING-IND-19;ING-IND/19 Impianti nucleari
ING-IND-20;ING-IND/20 Misure e strumentazione nucleari
ING-IND-21;ING-IND/21 Metallurgia
ING-IND-22;ING-IND/22 Scienza e tecnologia dei materiali
ING-IND-23;ING-IND/23 Chimica fisica applicata
ING-IND-24;ING-IND/24 Principi di ingegneria chimica
ING-IND-25;ING-IND/25 Impianti chimici
ING-IND-26;ING-IND/26 Teoria dello sviluppo dei processi chimici
ING-IND-27;ING-IND/27 Chimica industriale e tecnologica
ING-IND-28;ING-IND/28 Ingegneria e sicurezza degli scavi
ING-IND-29;ING-IND/29 Ingegneria delle materie prime
ING-IND-30;ING-IND/30 Idrocarburi e fluidi del sottosuolo
ING-IND-31;ING-IND/31 Elettrotecnica
