_id.subject,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AGR-01,0,0,0,0,0,1,3,1,3,1,0
AGR-02,0,0,0,0,0,0,0,0,1,1,1
AGR-03,0,0,0,0,0,0,0,0,3,2,3
AGR-04,0,0,0,0,1,3,0,1,1,23,4
AGR-10,0,0,0,0,0,0,0,0,1,0,0
AGR-11,0,0,0,0,0,0,0,0,0,0,2
AGR-12,0,0,0,1,0,0,0,0,0,0,0
AGR-13,0,0,0,0,0,0,0,0,4,0,1
AGR-15,0,2,0,3,4,1,0,0,6,10,4
AGR-16,0,0,0,0,0,0,0,0,1,9,0
AGR-17,0,0,0,0,0,0,0,0,1,0,0
AGR-18,0,0,0,0,0,0,0,1,1,0,0
AGR-19,0,0,0,0,0,0,0,0,2,2,1
AGR-20,0,0,0,0,0,1,0,0,0,1,0
BIO-01,0,0,0,0,0,0,0,0,1,0,0
BIO-04,0,0,0,0,0,0,0,0,0,1,0
BIO-05,0,0,0,0,0,0,0,0,0,0,1
BIO-07,0,0,0,0,0,1,0,0,0,1,1
BIO-08,0,0,0,0,1,1,1,0,1,2,0
BIO-09,0,0,0,0,0,0,1,0,2,0,0
BIO-10,0,0,0,0,0,0,0,0,2,5,6
BIO-11,0,0,0,0,0,0,0,0,1,3,0
BIO-12,0,0,0,0,0,0,0,0,3,1,1
BIO-14,0,0,0,0,0,0,0,0,0,1,2
BIO-16,0,0,0,0,0,1,0,0,0,0,0
BIO-17,0,0,0,0,0,0,0,0,0,1,0
BIO-19,0,0,0,0,0,0,0,0,2,2,3
CHIM-01,0,0,0,0,0,0,0,2,5,15,12
CHIM-02,0,0,0,0,0,0,0,2,14,11,19
CHIM-03,0,0,0,0,0,0,0,2,1,1,5
CHIM-04,0,0,0,0,1,0,0,0,1,2,4
CHIM-05,0,0,0,0,0,0,0,0,0,0,4
CHIM-06,0,0,0,0,0,0,0,0,0,3,5
CHIM-07,0,0,0,0,0,0,0,0,0,0,1
CHIM-08,0,0,0,0,0,0,0,0,0,2,2
CHIM-09,0,0,0,0,0,0,0,0,2,2,4
